SITE	DATE	TIME	TEMP	SERIAL
NAPL	3/29/02	9:35:00	10.92	526486
NAPL	3/29/02	9:45:00	10.92	526486
NAPL	3/29/02	9:55:00	10.92	526486
NAPL	3/29/02	10:05:00	10.92	526486
NAPL	3/29/02	10:15:00	10.92	526486
NAPL	3/29/02	10:25:00	10.92	526486
NAPL	3/29/02	10:35:00	10.92	526486
NAPL	3/29/02	10:45:00	10.92	526486
NAPL	3/29/02	10:55:00	10.92	526486
NAPL	3/29/02	11:05:00	10.92	526486
NAPL	3/29/02	11:15:00	10.92	526486
NAPL	3/29/02	11:25:00	10.92	526486
NAPL	3/29/02	11:35:00	10.92	526486
NAPL	3/29/02	11:45:00	10.92	526486
NAPL	3/29/02	11:55:00	10.92	526486
NAPL	3/29/02	12:05:00	11	526486
NAPL	3/29/02	12:15:00	11	526486
NAPL	3/29/02	12:25:00	11	526486
NAPL	3/29/02	12:35:00	11	526486
NAPL	3/29/02	12:45:00	11	526486
NAPL	3/29/02	12:55:00	11.08	526486
NAPL	3/29/02	13:05:00	11.08	526486
NAPL	3/29/02	13:15:00	11.08	526486
NAPL	3/29/02	13:25:00	11.17	526486
NAPL	3/29/02	13:35:00	11.17	526486
NAPL	3/29/02	13:45:00	11.17	526486
NAPL	3/29/02	13:55:00	11.17	526486
NAPL	3/29/02	14:05:00	11.17	526486
NAPL	3/29/02	14:15:00	11.17	526486
NAPL	3/29/02	14:25:00	11.17	526486
NAPL	3/29/02	14:35:00	11.26	526486
NAPL	3/29/02	14:45:00	11.34	526486
NAPL	3/29/02	14:55:00	11.34	526486
NAPL	3/29/02	15:05:00	11.26	526486
NAPL	3/29/02	15:15:00	11.34	526486
NAPL	3/29/02	15:25:00	11.43	526486
NAPL	3/29/02	15:35:00	11.6	526486
NAPL	3/29/02	15:45:00	11.86	526486
NAPL	3/29/02	15:55:00	11.68	526486
NAPL	3/29/02	16:05:00	11.6	526486
NAPL	3/29/02	16:15:00	11.68	526486
NAPL	3/29/02	16:25:00	11.77	526486
NAPL	3/29/02	16:35:00	11.68	526486
NAPL	3/29/02	16:45:00	11.68	526486
NAPL	3/29/02	16:55:00	11.68	526486
NAPL	3/29/02	17:05:00	11.6	526486
NAPL	3/29/02	17:15:00	11.43	526486
NAPL	3/29/02	17:25:00	11.34	526486
NAPL	3/29/02	17:35:00	11.34	526486
NAPL	3/29/02	17:45:00	11.43	526486
NAPL	3/29/02	17:55:00	11.43	526486
NAPL	3/29/02	18:05:00	11.34	526486
NAPL	3/29/02	18:15:00	11.34	526486
NAPL	3/29/02	18:25:00	11.34	526486
NAPL	3/29/02	18:35:00	11.34	526486
NAPL	3/29/02	18:45:00	11.26	526486
NAPL	3/29/02	18:55:00	11.26	526486
NAPL	3/29/02	19:05:00	11.34	526486
NAPL	3/29/02	19:15:00	11.26	526486
NAPL	3/29/02	19:25:00	11.26	526486
NAPL	3/29/02	19:35:00	11.26	526486
NAPL	3/29/02	19:45:00	11.26	526486
NAPL	3/29/02	19:55:00	11.26	526486
NAPL	3/29/02	20:05:00	11.26	526486
NAPL	3/29/02	20:15:00	11.26	526486
NAPL	3/29/02	20:25:00	11.26	526486
NAPL	3/29/02	20:35:00	11.26	526486
NAPL	3/29/02	20:45:00	11.26	526486
NAPL	3/29/02	20:55:00	11.26	526486
NAPL	3/29/02	21:05:00	11.26	526486
NAPL	3/29/02	21:15:00	11.26	526486
NAPL	3/29/02	21:25:00	11.26	526486
NAPL	3/29/02	21:35:00	11.26	526486
NAPL	3/29/02	21:45:00	11.26	526486
NAPL	3/29/02	21:55:00	11.26	526486
NAPL	3/29/02	22:05:00	11.17	526486
NAPL	3/29/02	22:15:00	11.26	526486
NAPL	3/29/02	22:25:00	11.26	526486
NAPL	3/29/02	22:35:00	11.17	526486
NAPL	3/29/02	22:45:00	11.17	526486
NAPL	3/29/02	22:55:00	11.17	526486
NAPL	3/29/02	23:05:00	11.17	526486
NAPL	3/29/02	23:15:00	11.17	526486
NAPL	3/29/02	23:25:00	11.17	526486
NAPL	3/29/02	23:35:00	11.17	526486
NAPL	3/29/02	23:45:00	11.17	526486
NAPL	3/29/02	23:55:00	11.17	526486
NAPL	3/30/02	0:05:00	11.17	526486
NAPL	3/30/02	0:15:00	11.17	526486
NAPL	3/30/02	0:25:00	11.17	526486
NAPL	3/30/02	0:35:00	11.26	526486
NAPL	3/30/02	0:45:00	11.17	526486
NAPL	3/30/02	0:55:00	11.17	526486
NAPL	3/30/02	1:05:00	11.26	526486
NAPL	3/30/02	1:15:00	11.26	526486
NAPL	3/30/02	1:25:00	11.26	526486
NAPL	3/30/02	1:35:00	11.26	526486
NAPL	3/30/02	1:45:00	11.26	526486
